2013-11-24 11:17:34 Notice: Notice (8): Undefined variable: isAuthorized in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/app_controller.php, line 32]
2013-11-24 11:17:34 Notice: Notice (8): Undefined variable: isAuthorized in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/app_controller.php, line 32]
2013-11-24 11:17:34 Notice: Notice (8): Undefined variable: isAuthorized in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/app_controller.php, line 32]
2013-11-24 11:17:34 Notice: Notice (8): Undefined variable: isAuthorized in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/app_controller.php, line 32]
2013-11-24 11:17:34 Notice: Notice (8): Undefined variable: isAuthorized in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/app_controller.php, line 32]
2013-11-24 11:17:34 Notice: Notice (8): Undefined variable: isAuthorized in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/app_controller.php, line 32]
2013-11-24 11:17:34 Notice: Notice (8): Undefined variable: isAuthorized in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/app_controller.php, line 32]
2013-11-24 11:17:34 Notice: Notice (8): Undefined variable: isAuthorized in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/app_controller.php, line 32]
2013-11-24 11:17:34 Notice: Notice (8): Undefined variable: isAuthorized in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/app_controller.php, line 32]
2013-11-24 11:17:34 Notice: Notice (8): Undefined variable: isAuthorized in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/app_controller.php, line 32]
2013-11-24 11:17:34 Notice: Notice (8): Undefined variable: isAuthorized in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/app_controller.php, line 32]
2013-11-24 11:17:34 Notice: Notice (8): Undefined variable: isAuthorized in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/app_controller.php, line 32]
2013-11-24 11:17:34 Notice: Notice (8): Undefined variable: isAuthorized in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/app_controller.php, line 32]
2013-11-24 11:17:34 Notice: Notice (8): Undefined variable: isAuthorized in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/app_controller.php, line 32]
2013-11-24 11:18:08 Notice: Notice (8): Undefined variable: isUserAuthorized in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/app_controller.php, line 32]
2013-11-24 11:18:08 Notice: Notice (8): Undefined variable: isUserAuthorized in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/app_controller.php, line 32]
2013-11-24 11:18:08 Notice: Notice (8): Undefined variable: isUserAuthorized in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/app_controller.php, line 32]
2013-11-24 11:18:08 Notice: Notice (8): Undefined variable: isUserAuthorized in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/app_controller.php, line 32]
2013-11-24 11:18:08 Notice: Notice (8): Undefined variable: isUserAuthorized in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/app_controller.php, line 32]
2013-11-24 11:18:09 Notice: Notice (8): Undefined variable: isUserAuthorized in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/app_controller.php, line 32]
2013-11-24 11:18:09 Notice: Notice (8): Undefined variable: isUserAuthorized in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/app_controller.php, line 32]
2013-11-24 11:18:09 Notice: Notice (8): Undefined variable: isUserAuthorized in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/app_controller.php, line 32]
2013-11-24 11:18:09 Notice: Notice (8): Undefined variable: isUserAuthorized in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/app_controller.php, line 32]
2013-11-24 11:18:09 Notice: Notice (8): Undefined variable: isUserAuthorized in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/app_controller.php, line 32]
2013-11-24 11:18:09 Notice: Notice (8): Undefined variable: isUserAuthorized in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/app_controller.php, line 32]
2013-11-24 11:18:09 Notice: Notice (8): Undefined variable: isUserAuthorized in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/app_controller.php, line 32]
2013-11-24 11:18:09 Notice: Notice (8): Undefined variable: isUserAuthorized in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/app_controller.php, line 32]
2013-11-24 11:18:09 Notice: Notice (8): Undefined variable: isUserAuthorized in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/app_controller.php, line 32]
2013-11-24 11:18:09 Notice: Notice (8): Undefined variable: isUserAuthorized in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/app_controller.php, line 32]
2013-11-24 11:18:09 Notice: Notice (8): Undefined variable: isUserAuthorized in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/app_controller.php, line 32]
2013-11-24 11:18:09 Notice: Notice (8): Undefined variable: isUserAuthorized in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/app_controller.php, line 32]
2013-11-24 11:18:09 Notice: Notice (8): Undefined variable: isUserAuthorized in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/app_controller.php, line 32]
2013-11-24 11:18:09 Notice: Notice (8): Undefined variable: isUserAuthorized in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/app_controller.php, line 32]
2013-11-24 11:18:09 Notice: Notice (8): Undefined variable: isUserAuthorized in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/app_controller.php, line 32]
2013-11-24 11:18:09 Notice: Notice (8): Undefined variable: isUserAuthorized in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/app_controller.php, line 32]
2013-11-24 11:18:11 Notice: Notice (8): Undefined variable: isUserAuthorized in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/app_controller.php, line 32]
2013-11-24 11:18:11 Notice: Notice (8): Undefined variable: isUserAuthorized in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/app_controller.php, line 32]
2013-11-24 11:18:11 Notice: Notice (8): Undefined variable: isUserAuthorized in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/app_controller.php, line 32]
2013-11-24 11:18:12 Notice: Notice (8): Undefined variable: isUserAuthorized in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/app_controller.php, line 32]
2013-11-24 11:18:12 Notice: Notice (8): Undefined variable: isUserAuthorized in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/app_controller.php, line 32]
2013-11-24 11:18:12 Notice: Notice (8): Undefined variable: isUserAuthorized in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/app_controller.php, line 32]
2013-11-24 11:18:12 Notice: Notice (8): Undefined variable: isUserAuthorized in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/app_controller.php, line 32]
2013-11-24 11:18:12 Notice: Notice (8): Undefined variable: isUserAuthorized in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/app_controller.php, line 32]
2013-11-24 11:18:12 Notice: Notice (8): Undefined variable: isUserAuthorized in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/app_controller.php, line 32]
2013-11-24 11:18:12 Notice: Notice (8): Undefined variable: isUserAuthorized in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/app_controller.php, line 32]
2013-11-24 11:18:12 Notice: Notice (8): Undefined variable: isUserAuthorized in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/app_controller.php, line 32]
2013-11-24 11:18:12 Notice: Notice (8): Undefined variable: isUserAuthorized in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/app_controller.php, line 32]
2013-11-24 11:18:12 Notice: Notice (8): Undefined variable: isUserAuthorized in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/app_controller.php, line 32]
2013-11-24 11:18:12 Notice: Notice (8): Undefined variable: isUserAuthorized in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/app_controller.php, line 32]
2013-11-24 11:18:12 Notice: Notice (8): Undefined variable: isUserAuthorized in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/app_controller.php, line 32]
2013-11-24 11:18:12 Notice: Notice (8): Undefined variable: isUserAuthorized in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/app_controller.php, line 32]
2013-11-24 11:18:12 Notice: Notice (8): Undefined variable: isUserAuthorized in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/app_controller.php, line 32]
2013-11-24 11:18:12 Notice: Notice (8): Undefined variable: isUserAuthorized in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/app_controller.php, line 32]
2013-11-24 11:18:12 Notice: Notice (8): Undefined variable: isUserAuthorized in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/app_controller.php, line 32]
2013-11-24 11:18:12 Notice: Notice (8): Undefined variable: isUserAuthorized in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/app_controller.php, line 32]
2013-11-24 11:18:12 Notice: Notice (8): Undefined variable: isUserAuthorized in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/app_controller.php, line 32]
2013-11-24 11:18:13 Notice: Notice (8): Undefined variable: isUserAuthorized in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/app_controller.php, line 32]
2013-11-24 11:18:13 Notice: Notice (8): Undefined variable: isUserAuthorized in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/app_controller.php, line 32]
2013-11-24 11:18:13 Notice: Notice (8): Undefined variable: isUserAuthorized in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/app_controller.php, line 32]
2013-11-24 11:18:13 Notice: Notice (8): Undefined variable: isUserAuthorized in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/app_controller.php, line 32]
2013-11-24 11:18:13 Notice: Notice (8): Undefined variable: isUserAuthorized in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/app_controller.php, line 32]
2013-11-24 11:18:13 Notice: Notice (8): Undefined variable: isUserAuthorized in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/app_controller.php, line 32]
2013-11-24 11:18:13 Notice: Notice (8): Undefined variable: isUserAuthorized in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/app_controller.php, line 32]
2013-11-24 11:18:13 Notice: Notice (8): Undefined variable: isUserAuthorized in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/app_controller.php, line 32]
